timestamp(ms),C1 (pF),C2 (pF),C1-C2 (pF),Distance d ,ration des c ,ration des  eps,écart ,Distance d2 ,
"1781523044.992",,,,,"6.87013",,,,
"1781523044.993",,,,,,"4.894511","-0.767059",,
"1781523044.994",,,,,,,,"6.670396",
"1781523045.028","1.059","0.152","0.907",,,,,,
"1781523045.033",,,,"6.626835823059082",,,,,
"1781523045.038",,,,,"6.967105",,,,
"1781523045.039",,,,,,"4.894511",,,
"1781523045.041",,,,,,,"-0.626836","6.561991",
"1781523045.075","1.058","0.152","0.906",,,,,,
"1781523045.081",,,,"6.6359639167785645",,,,,
"1781523045.086",,,,,"6.960526","4.894511","-0.635964",,
"1781523045.088",,,,,,,,"6.569233",
"1781523045.122","1.058",,,,,,,,
"1781523045.123",,"0.153","0.905",,,,,,
"1781523045.127",,,,"6.7005743980407715",,,,,
"1781523045.133",,,,,"6.915032","4.894511",,,
"1781523045.135",,,,,,,"-0.700574","6.619759",
"1781523045.169","1.058","0.153","0.905",,,,,,
"1781523045.174",,,,"6.7005743980407715",,,,,
"1781523045.18",,,,,"6.915032","4.894511",,,
"1781523045.182",,,,,,,"-0.700574","6.619759",
"1781523045.216","1.059","0.153","0.906",,,,,,
"1781523045.221",,,,"6.69112491607666",,,,,
"1781523045.227",,,,,"6.921569","4.894511","-0.691125",,
"1781523045.229",,,,,,,,"6.612452",
"1781523045.263","1.058","0.152","0.906",,,,,,
"1781523045.268",,,,"6.6359639167785645",,,,,
"1781523045.274",,,,,"6.960526","4.894511",,,
"1781523045.276",,,,,,,"-0.635964","6.569233",
"1781523045.31","1.057","0.152","0.905",,,,,,
"1781523045.315",,,,"6.645143032073975",,,,,
"1781523045.321",,,,,"6.953948","4.894511",,,
"1781523045.323",,,,,,,"-0.645143",,
"1781523045.324",,,,,,,,"6.576492",
"1781523045.357","1.059","0.152","0.907",,,,,,
"1781523045.362",,,,"6.626835823059082",,,,,
"1781523045.368",,,,,"6.967105","4.894511","-0.626836",,
"1781523045.37",,,,,,,,"6.561991",
"1781523045.404","1.059","0.152","0.907",,,,,,
"1781523045.41",,,,"6.626835823059082",,,,,
"1781523045.415",,,,,"6.967105","4.894511","-0.626836",,
"1781523045.417",,,,,,,,"6.561991",
"1781523045.451","1.059","0.151","0.908",,,,,,
"1781523045.457",,,,"6.564284324645996",,,,,
"1781523045.462",,,,,"7.013246","4.894511","-0.564284",,
"1781523045.464",,,,,,,,"6.51164",
"1781523045.498","1.059","0.153","0.906",,,,,,
"1781523045.503",,,,"6.69112491607666",,,,,
"1781523045.509",,,,,"6.921569","4.894511","-0.691125",,
"1781523045.511",,,,,,,,"6.612452",
"1781523045.545","1.058","0.153","0.905",,,,,,
"1781523045.55",,,,"6.7005743980407715",,,,,
"1781523045.556",,,,,"6.915032","4.894511",,,
"1781523045.558",,,,,,,"-0.700574","6.619759",
"1781523045.592","1.059","0.152","0.907",,,,,,
"1781523045.598",,,,"6.626835823059082",,,,,
"1781523045.603",,,,,"6.967105","4.894511",,,
"1781523045.605",,,,,,,"-0.626836","6.561991",
"1781523045.639","1.058","0.152","0.906",,,,,,
"1781523045.645",,,,"6.6359639167785645",,,,,
"1781523045.65",,,,,"6.960526","4.894511","-0.635964",,
"1781523045.652",,,,,,,,"6.569233",
"1781523045.686","1.058","0.152","0.906",,,,,,
"1781523045.691",,,,"6.6359639167785645",,,,,
"1781523045.697",,,,,"6.960526","4.894511",,,
"1781523045.699",,,,,,,"-0.635964","6.569233",
"1781523045.733","1.059","0.153","0.906",,,,,,
"1781523045.738",,,,"6.69112491607666",,,,,
"1781523045.744",,,,,"6.921569","4.894511","-0.691125",,
"1781523045.746",,,,,,,,"6.612452",
"1781523045.78","1.058","0.153","0.905",,,,,,
"1781523045.785",,,,"6.7005743980407715",,,,,
"1781523045.791",,,,,"6.915032","4.894511",,,
"1781523045.793",,,,,,,"-0.700574","6.619759",
"1781523045.827","1.058","0.153","0.905",,,,,,
"1781523045.832",,,,"6.7005743980407715",,,,,
"1781523045.838",,,,,"6.915032","4.894511","-0.700574",,
"1781523045.84",,,,,,,,"6.619759",
"1781523045.874","1.058","0.152","0.906",,,,,,
"1781523045.879",,,,"6.6359639167785645",,,,,
"1781523045.885",,,,,"6.960526","4.894511","-0.635964",,
"1781523045.887",,,,,,,,"6.569233",
"1781523045.92","1.058","0.154","0.904",,,,,,
"1781523045.926",,,,"6.767059326171875",,,,,
"1781523045.932",,,,,"6.87013","4.894511",,,
"1781523045.934",,,,,,,"-0.767059","6.670396",
"1781523045.968","1.059","0.154","0.905",,,,,,
"1781523045.973",,,,"6.757269382476807",,,,,
"1781523045.979",,,,,"6.876624","4.894511","-0.757269",,
"1781523045.981",,,,,,,,"6.663025",
"1781523046.015","1.057","0.153","0.904",,,,,,
"1781523046.02",,,,"6.710079193115234",,,,,
"1781523046.026",,,,,"6.908497","4.894511","-0.710079",,
"1781523046.028",,,,,,,,"6.627081",
"1781523046.062","1.057","0.152","0.905",,,,,,
"1781523046.067",,,,"6.645143032073975",,,,,
"1781523046.073",,,,,"6.953948","4.894511","-0.645143",,
"1781523046.075",,,,,,,,"6.576492",
"1781523046.109","1.059","0.152","0.907",,,,,,
"1781523046.114",,,,"6.626835823059082",,,,,
"1781523046.12",,,,,"6.967105","4.894511",,,
"1781523046.122",,,,,,,"-0.626836","6.561991",
"1781523046.156","1.058","0.152","0.906",,,,,,
"1781523046.161",,,,"6.6359639167785645",,,,,
"1781523046.167",,,,,"6.960526","4.894511","-0.635964",,
"1781523046.169",,,,,,,,"6.569233",
"1781523046.203","1.058","0.152","0.906",,,,,,
"1781523046.208",,,,"6.6359639167785645",,,,,
"1781523046.214",,,,,"6.960526","4.894511",,,
"1781523046.216",,,,,,,"-0.635964","6.569233",
"1781523046.25","1.058","0.153","0.905",,,,,,
"1781523046.255",,,,"6.7005743980407715",,,,,
"1781523046.261",,,,,"6.915032","4.894511","-0.700574",,
"1781523046.263",,,,,,,,"6.619759",
"1781523046.297","1.058","0.152","0.906",,,,,,
"1781523046.302",,,,"6.6359639167785645",,,,,
"1781523046.308",,,,,"6.960526","4.894511",,,
"1781523046.31",,,,,,,"-0.635964","6.569233",
"1781523046.344","1.058","0.152","0.906",,,,,,
"1781523046.349",,,,"6.6359639167785645",,,,,
"1781523046.355",,,,,"6.960526","4.894511","-0.635964",,
"1781523046.357",,,,,,,,"6.569233",
"1781523046.391","1.058","0.152","0.906",,,,,,
"1781523046.396",,,,"6.6359639167785645",,,,,
"1781523046.402",,,,,"6.960526","4.894511","-0.635964",,
"1781523046.404",,,,,,,,"6.569233",
"1781523046.438","1.058","0.152","0.906",,,,,,
"1781523046.443",,,,"6.6359639167785645",,,,,
"1781523046.449",,,,,"6.960526","4.894511",,,
"1781523046.451",,,,,,,"-0.635964","6.569233",
"1781523046.485","1.058","0.152","0.906",,,,,,
"1781523046.49",,,,"6.6359639167785645",,,,,
"1781523046.496",,,,,"6.960526","4.894511","-0.635964",,
"1781523046.498",,,,,,,,"6.569233",
"1781523046.532","1.058","0.151","0.907",,,,,,
"1781523046.537",,,,"6.573112487792969",,,,,
"1781523046.543",,,,,"7.006623","4.894511","-0.573112",,
"1781523046.545",,,,,,,,"6.51882",
"1781523046.579","1.059","0.153","0.906",,,,,,
"1781523046.584",,,,"6.69112491607666",,,,,
"1781523046.59",,,,,"6.921569","4.894511",,,
"1781523046.592",,,,,,,"-0.691125","6.612452",
"1781523046.625","1.057","0.152","0.905",,,,,,
"1781523046.631",,,,"6.645143032073975",,,,,
"1781523046.637",,,,,"6.953948","4.894511",,,
"1781523046.639",,,,,,,"-0.645143","6.576492",
"1781523046.672","1.059","0.153","0.906",,,,,,
"1781523046.678",,,,"6.69112491607666",,,,,
"1781523046.683",,,,,"6.921569","4.894511",,,
"1781523046.686",,,,,,,"-0.691125","6.612452",
"1781523046.719","1.058","0.154","0.904",,,,,,
"1781523046.725",,,,"6.767059326171875",,,,,
"1781523046.732",,,,,"6.87013","4.894511","-0.767059",,
"1781523046.734",,,,,,,,"6.670396",
"1781523046.766","1.058","0.151","0.907",,,,,,
"1781523046.772",,,,"6.573112487792969",,,,,
"1781523046.777",,,,,"7.006623","4.894511","-0.573112",,
"1781523046.78",,,,,,,,"6.51882",
"1781523046.813","1.059","0.152","0.907",,,,,,
"1781523046.819",,,,"6.626835823059082",,,,,
"1781523046.824",,,,,"6.967105",,,,
"1781523046.825",,,,,,"4.894511","-0.626836",,
"1781523046.827",,,,,,,,"6.561991",
"1781523046.86","1.058","0.152","0.906",,,,,,
"1781523046.866",,,,"6.6359639167785645",,,,,
"1781523046.871",,,,,"6.960526",,,,
"1781523046.872",,,,,,"4.894511","-0.635964",,
"1781523046.874",,,,,,,,"6.569233",
"1781523046.907","1.059","0.152","0.907",,,,,,
"1781523046.913",,,,"6.626835823059082",,,,,
"1781523046.918",,,,,"6.967105","4.894511",,,
"1781523046.919",,,,,,,"-0.626836",,
"1781523046.921",,,,,,,,"6.561991",
"1781523046.954","1.058","0.153","0.905",,,,,,
"1781523046.96",,,,"6.7005743980407715",,,,,
"1781523046.965",,,,,"6.915032","4.894511",,,
"1781523046.968",,,,,,,"-0.700574","6.619759",
"1781523047.001","1.059","0.152","0.907",,,,,,
"1781523047.007",,,,"6.626835823059082",,,,,
"1781523047.012",,,,,"6.967105","4.894511",,,
"1781523047.014",,,,,,,"-0.626836",,
"1781523047.015",,,,,,,,"6.561991",
"1781523047.049","1.059","0.153","0.906",,,,,,
"1781523047.054",,,,"6.69112491607666",,,,,
"1781523047.06",,,,,"6.921569","4.894511","-0.691125",,
"1781523047.062",,,,,,,,"6.612452",
"1781523047.096","1.059","0.153","0.906",,,,,,
"1781523047.102",,,,"6.69112491607666",,,,,
"1781523047.107",,,,,"6.921569","4.894511","-0.691125",,
"1781523047.109",,,,,,,,"6.612452",
"1781523047.143","1.059","0.152","0.907",,,,,,
"1781523047.148",,,,"6.626835823059082",,,,,
"1781523047.154",,,,,"6.967105","4.894511","-0.626836",,
"1781523047.156",,,,,,,,"6.561991",
"1781523047.19","1.059","0.152","0.907",,,,,,
"1781523047.196",,,,"6.626835823059082",,,,,
"1781523047.201",,,,,"6.967105","4.894511","-0.626836",,
"1781523047.203",,,,,,,,"6.561991",
"1781523047.237","1.059","0.153","0.906",,,,,,
"1781523047.242",,,,"6.69112491607666",,,,,
"1781523047.248",,,,,"6.921569","4.894511",,,
"1781523047.25",,,,,,,"-0.691125","6.612452",
"1781523047.284","1.058","0.152","0.906",,,,,,
"1781523047.289",,,,"6.6359639167785645",,,,,
"1781523047.295",,,,,"6.960526","4.894511","-0.635964",,
"1781523047.297",,,,,,,,"6.569233",
"1781523047.331","1.06","0.152","0.908",,,,,,
"1781523047.336",,,,"6.617763042449951",,,,,
"1781523047.37",,,,,"6.973684","4.894511",,,
"1781523047.373",,,,,,,"-0.617763","6.554765",
"1781523047.377","1.058","0.152","0.906",,,,,,
"1781523047.384",,,,"6.6359639167785645",,,,,
"1781523047.389",,,,,"6.960526","4.894511",,,
"1781523047.391",,,,,,,"-0.635964","6.569233",
"1781523047.425","1.059","0.153","0.906",,,,,,
"1781523047.43",,,,"6.69112491607666",,,,,
"1781523047.436",,,,,"6.921569","4.894511",,,
"1781523047.438",,,,,,,"-0.691125","6.612452",
"1781523047.472","1.058","0.153","0.905",,,,,,
"1781523047.477",,,,"6.7005743980407715",,,,,
"1781523047.483",,,,,"6.915032","4.894511","-0.700574",,
"1781523047.485",,,,,,,,"6.619759",
"1781523047.519","1.058","0.153","0.905",,,,,,
"1781523047.524",,,,"6.7005743980407715",,,,,
